jobid,submit,start,end,nnodes,duration,memory
2962306,166031715,166031715,166032112,1,397,444
2962308,166031715,166031715,166033878,1,2162,75
2962310,166032076,166032076,166034236,1,2160,76
2962312,166032083,166032083,166034245,1,2161,81
2962314,166032485,166032485,166034648,1,2162,81
2962315,166032541,166032541,166034703,1,2161,76
2962316,166033321,166033321,166035481,10,2160,62
2962319,166033315,166033315,166035479,1,2162,59
2962320,166033329,166033329,166035490,1,2161,59
2962321,166033331,166033331,166035494,1,2162,60
2962323,166033425,166033425,166035587,1,2161,61
2962324,166033426,166033426,166035588,1,2160,62
2962326,166033551,166033551,166035714,1,2162,61
2962327,166033551,166033551,166035713,1,2162,58
2962328,166034528,166034528,166036692,1,2163,68
2962329,166034529,166034529,166036692,1,2162,60
2962330,166031621,166031621,166032083,1,462,78
2962332,166034665,166034665,166036827,1,2162,47
2962334,166034669,166034669,166036830,1,2160,50
2962336,166034708,166034708,166036869,1,2161,45
2962338,166034711,166034711,166036872,1,2161,44
2962342,166033236,166033236,166037560,1,4324,490
2962345,166034765,166034765,166036926,1,2161,46
2962347,166031719,166031719,166032104,1,385,444
2962375,166033329,166033329,166033775,1,445,114
2962376,166033331,166033331,166034019,1,688,119
2962377,166033367,166033367,166034424,1,1056,108
2962378,166033428,166033428,166034511,1,1083,97
2962388,166035497,166035497,166036583,1,1084,112
2962393,166041252,166041252,166043779,1,2525,115
2962395,166031834,166031834,166033320,5,1485,152
2962396,166031834,166031834,166035615,5,3780,161
2962397,166032074,166032074,166033320,16,1245,490
2962398,166031929,166031929,166034644,4,2715,282
2962401,166031929,166031929,166034630,4,2701,282
2962404,166031730,166031730,166036052,1,4322,42
2962407,166031755,166031755,166036079,1,4323,41
2962421,166032076,166032076,166033325,18,1249,370
2962427,166032074,166032074,166032488,1,413,443
2962429,166032076,166032076,166032457,1,381,443
2962430,166033323,166033323,166034764,1,1440,108
2962433,166032077,166032077,166036400,1,4323,40
2962440,166041669,166041669,166045273,1,3602,112
2962443,166032077,166032077,166036400,1,4323,39
2962449,166042020,166042020,166045625,1,3604,120
2962452,166044883,166044883,166048488,1,3604,107
2962456,166045068,166045068,166048672,1,3602,111
2962460,166045209,166045209,166048814,1,3603,114
2962463,166045291,166045291,166048896,1,3603,115
2962464,166045395,166045395,166049001,1,3605,110
2962465,166045422,166045422,166049026,1,3602,114
2962475,166045558,166045558,166049164,1,3605,109
2962483,166049103,166049103,166052709,1,3604,115
2962485,166049107,166049107,166052712,1,3603,115
2962489,166032077,166032077,166032542,1,465,64
2962498,166032484,166032484,166035977,5,3493,159
2962499,166032484,166032484,166035494,5,3010,152
2962505,166031843,166031843,166032399,2,556,77
2962510,166033116,166033116,166034354,24,1237,47
2962512,166033320,166033320,166033783,16,463,93
